lead_hours,target,rmse,mae,bias,r2,coverage,avg_pi_width
1,speed,2.4111306741887866,1.842696428158041,1.1831460763320292,0.896030602349625,0.5460992907801419,3.292987954092364
1,gust,4.089885415031832,3.2393382558416812,2.9473124437467426,0.7973500835820626,0.4468085106382978,4.868011945629797
2,speed,2.0483560817955877,1.6112665070399603,1.0339799793984026,0.925835084125857,0.6430260047281324,3.616172863322229
2,gust,4.198122102929836,3.34662183658451,3.008465597426637,0.7848073747592059,0.4491725768321513,5.202296523434614
3,speed,2.3426970175181543,1.79202029681993,1.2173463410982546,0.902833105091153,0.5495283018867925,3.333996830463408
3,gust,4.0780155076515845,3.256136976334284,2.911156229871624,0.7998175860147534,0.4929245283018867,5.543810119808845
4,speed,2.522784640472114,1.9184945395320516,1.326268683677601,0.8860430912045408,0.533175355450237,3.276056517424741
4,gust,4.245865387611954,3.378453628163767,3.0840191641181565,0.7810797100175833,0.509478672985782,5.624568097263715
5,speed,2.2485316135807305,1.7022897053739472,1.0581963378035626,0.9105325642168616,0.6113744075829384,3.3651402846151064
5,gust,3.9806731721278696,3.175271477535438,2.8393396899202985,0.8061031429091594,0.490521327014218,5.53685342858753
6,speed,2.4706977996932733,1.8451130521879584,1.1599744950804691,0.8918167382139601,0.5437352245862884,3.1147901417977986
6,gust,3.975273359351484,3.1396126870906107,2.77403952037189,0.8093867117506164,0.5319148936170213,5.765516851510843
7,speed,2.506535375767356,1.8539150533398656,1.074392541709252,0.8873465789863199,0.6104513064133017,3.712791653766769
7,gust,3.921722724289747,3.1245493065942775,2.715904574082753,0.8127680557028536,0.5249406175771971,5.502690908110341
8,speed,2.227175073027357,1.7311046001237247,0.9853052775537032,0.9121155101075226,0.6199524940617577,3.7172317666894186
8,gust,4.107738028860931,3.3282223724356177,2.9133511066436766,0.7930412986709926,0.4631828978622327,5.291548892675838
9,speed,2.400434344200556,1.8181305494410167,1.1115449533473825,0.8977748294530054,0.5876777251184834,3.502555778702288
9,gust,3.9775012861084007,3.173166397849531,2.710090635534711,0.8087702815891873,0.4881516587677725,5.279302705448386
10,speed,2.3148144580781396,1.7716437120182174,1.0353874138905887,0.90386800721289,0.6285714285714286,3.838473103114537
10,gust,3.8318505869570343,3.064311848140898,2.622498300620488,0.8209772864461876,0.5428571428571428,5.725993047986713
11,speed,2.1923254673274433,1.6630414248421077,0.8162031741369336,0.9148120773984666,0.6761904761904762,3.881784066027688
11,gust,3.831320706632511,3.056014080910456,2.6512474809374127,0.8198002937723121,0.4928571428571429,5.311228351229712
12,speed,2.4939359460081247,1.8415158009868904,1.0643817816494197,0.8894803577672722,0.6175771971496437,3.650982011047508
12,gust,4.131940572677122,3.2354118915521624,2.808769011033119,0.7931156862053075,0.5320665083135392,5.5498355973123665
