model,target,rmse,mae,bias,r2,angular_mae_deg
XGBoost,direction,,,,,0.914398526356055
XGBoost,gust,2.5835425926437963,1.9936493241118034,1.6297487697151967,0.7790621757929664,
ifs,gust,8.413163494266021,7.520003838820088,7.3627696074675315,-1.3381777328553615,
iconeu,gust,8.413550077125262,7.3803943544168815,7.174338923265682,-1.3378473650003204,
icon,gust,8.941282085761538,7.872627133979486,7.66356653892424,-1.6242947443088809,
median_ensemble,gust,9.362210836909403,8.319446088045767,8.20620033021395,-1.8993757780023166,
mean_ensemble,gust,9.586276409290134,8.55544113777415,8.458794423252282,-2.0398010689952737,
harmeu,gust,10.195008768588293,8.97734383718437,8.833788127045397,-2.4382766764236403,
gfs,gust,11.278679834739405,10.127501765319584,10.026949789360865,-3.214737511135768,
metno,gust,11.342378947371095,10.000004823752144,9.899654446456571,-3.256328930785165,
wrfeuh,gust,11.956205604154839,10.56605224352889,10.437916553416008,-3.9805338129476344,
XGBoost,speed,1.2865898388740344,0.9207030877945703,0.2665105674892309,0.885340245584178,
ifs,speed,4.535534874123014,4.09221692304541,3.531889715998679,-0.42521196274952905,
iconeu,speed,4.962547567326798,4.379122605841813,3.7959607566217084,-0.7017145026813217,
wrfeuh,speed,4.998827617597978,4.377114061040996,3.9373964288014194,-0.9002122329334474,
harmeu,speed,5.112566341627034,4.557027029078179,3.9334032036393864,-0.8091016692773237,
median_ensemble,speed,5.1471991534136725,4.600128314177035,4.069909481808077,-0.8338868809234273,
mean_ensemble,speed,5.222266849403775,4.661607452713187,4.146302242458314,-0.887736080737739,
icon,speed,5.309247151792224,4.696522314608805,4.117209508187576,-0.8863913466696118,
gfs,speed,6.865925872105447,6.094029983778198,5.8301053759427255,-2.2751135364339232,
metno,speed,6.8781803113779345,5.972922709412697,5.553806560973182,-2.2798647620127936,
